question_number,arabic,english
143,ما هو وصف الحور العين؟,What is the description of the heavenly maidens (ḥūr al‑ʿayn)?
144,من هو ابو سيدنا يوسف عليه السلام؟,Who is the father of Prophet Yusuf?
145,من هو قارون؟,Who is Qārūn (Korah)?
146,ما هي كفارة الظهار؟,What is the expiation for ẓihār?
147,ما هي كفارة اليمين؟,What is the expiation for a broken oath?
149,ما هو جزاء من يقول إن لله ولد؟,What is the recompense for claiming God has a son?
151,اين تقع قبلة المسلمين الأولى؟,Where is the first Qibla of Muslims located?
152,في كم يوم خلق الله الكون؟,In how many days did God create the universe?
153,ما هو فضل ليلة القدر؟,What is the virtue of Laylat al‑Qadr?
154,ما هو الكتاب الذي انزل على موسى؟,Which scripture was revealed to Moses?
155,ما هو الكتاب الذي انزل على عيسى؟,Which scripture was revealed to Jesus?
159,ما هي لغة القرآن؟,What is the language of the Qur’an?
160,من هو المسيح؟,Who is the Messiah?
163,من الذي صنع عجلا من الحلي لبني إسرائيل؟,Who fashioned a calf from ornaments for the Children of Israel?
164,ما المخلوقات التي تسبح الله؟,Which creatures glorify God?
201,ما هي الآيات التي تتحدث عن موضوع الوصية؟,Which verses discuss the topic of bequests?
202,ما هي الآيات التي تتحدث عن موضوع الوصية في سورة المائدة؟,Which verses on bequests are in Sūrat al‑Māʾidah?
204,من هم أبناء سيدنا ابراهيم عليه السلام؟,Who are the sons of Prophet Ibrāhīm?
205,ماذا حدث لقابيل وهابيل؟,What happened to Qābīl and Hābīl?
208,من هو ذو القرنين؟,Who is Dhū l‑Qarnayn?
209,ما هي الأحداث المتعلقة بذي القرنين؟,What events relate to Dhū l‑Qarnayn?
211,ما هي معجزات النبي موسى عليه السلام؟,What are the miracles of Prophet Moses?
212,من هم الحواريون؟,Who are the disciples (al‑Ḥawāriyyūn)?
216,ما هي الأحداث المتعلقة بداوود عليه السلام؟,What events concern Prophet Dāwūd?
217,كم نام أهل الكهف؟,How long did the Companions of the Cave sleep?
219,من  الذي عايش سيدنا عيسى عليه السلام؟,Who lived contemporaneously with Prophet ʿĪsā?
220,من هم الرسل الذين عاشوا في مصر؟,Which messengers lived in Egypt?
225,لماذا جعل الله معجزة سيدنا صالح الناقة؟,Why was Prophet Ṣāliḥ’s miracle a she‑camel?
227,هل عاش سيدنا موسى في مصر؟,Did Prophet Moses live in Egypt?
230,أين نزلت سورة العلق؟,Where was Sūrat al‑ʿAlaq revealed?
231,ما هي انواع الحيوانات التي ذكرت في القرآن؟,What types of animals are mentioned in the Qur’an?
232,ما هي اسماء المدن المذكورة في القرآن؟,What city names are mentioned in the Qur’an?
233,ما هي قصة تسعة رهط؟,What is the story of the nine ruffians?
235,اين عاش قوم عاد؟,Where did the people of ʿĀd live?
236,كيف اهلك الله قوم عاد؟,How did God destroy the people of ʿĀd?
237,كيف خرج سيدنا يوسف عليه السلام من السجن؟,How was Prophet Yusuf released from prison?
238,كيف اهلك الله قوم ثمود؟,How did God destroy the people of Thamūd?
240,من هم القوم الذين حولهم الله إلى قردة؟,Which people were transformed into apes?
243,من هو النبي الذي تكلم مع الهدهد؟,Which prophet spoke with the hoopoe?
244,اين نزلت التوراة على سيدنا موسى؟,Where was the Torah revealed to Moses?
248,ما هي قصة اصحاب السبت؟,What is the story of the Sabbath‑breakers?
249,ماذا حدث لسيدنا يونس بعد ان ابتلعه الحوت ؟,What happened to Prophet Yūnus after the whale swallowed him?
251,كم استغرق سيدنا نوح عليه السلام في بناء السفينة؟,How long did Prophet Nūḥ spend building the Ark?
252,أين يقع الجودي؟,Where is Mount Jūdī located?
253,ما هي الأحداث التي وقعت بين سيدنا موسى والخضر؟,What events occurred between Moses and al‑Khiḍr?
255,كم دام إبتلاء أيوب عليه السلام؟,How long did Ayyūb’s trial last?
257,ما هو سبب نزول سيدنا آدم من الجنة؟,What caused Prophet Ādam to descend from Paradise?
258,من هو النبي الذي عايش طالوت؟,Which prophet lived during the time of Ṭālūt?
265,من شارك في غزوة بدر؟,Who participated in the Battle of Badr?
266,من هم الانصار المذكورين في القرآن؟,Who are the Anṣār mentioned in the Qur’an?
268,من هم الذين حاربوا الرسول محمد عليه السلام في مكة؟,Who fought Prophet Muḥammad in Mecca?
301,هل حجاب المرأة فرض؟,Is the woman’s veil obligatory?
302,ما هو الجهاد؟,What is jihād?
303,على من فُرض الجهاد في سبيل الله؟,On whom is striving in God’s path obligatory?
304,ضد من فُرض الجهاد؟,Against whom was jihād prescribed?
306,هل يجب ذكر اسم الله على المأكل والمشرب؟,Must God’s name be mentioned over food and drink?
307,بماذا شبه الله الذي يُتبع الحسنة بالأذى؟,To what did God liken one who follows charity with harm?
308,بماذا شبه الله الحياة الدنيا؟,To what did God liken worldly life?
310,ما هي شروط قبول التوبة؟,What are the conditions for repentance to be accepted?
311,ما هو أثر الكلام الطيب؟,What is the effect of good speech?
313,ماذا يشمل الإحسان؟,What does iḥsān include?
314,من هم المحسنون؟,Who are the doers of good (muḥsinūn)?
316,ما هي مصارف الزكاة؟,What are the categories of zakāh distribution?
317,على من تجوز الصدقة؟,To whom may charity be given?
323,هل حفظ القرآن عن ظهر قلب  فرض؟,Is memorising the Qur’an obligatory?
324,هل تجويد القرآن فرض؟,Is tajwīd of the Qur’an obligatory?
325,ما هو البر؟,What is righteousness (al‑birr)?
326,ماذا يشمل البر؟,What does righteousness encompass?
327,من هم الأبرار؟,Who are the righteous (abrār)?
328,ما هي العلامات والدلائل التي تشير الى موعد يوم القيامة؟,What signs indicate the approach of the Day of Resurrection?
332,ما هي الآيات التي تلمح إلى عذاب القبر وأهواله؟,Which verses allude to the torment of the grave?
334,كيف نفسر أوجه التناقض في أمر خروج المرأة المسلمة للقتال والصلاة في عهد رسول الله (ص) وبين ما أمروا به من بقائهن في بيوتهن والامتناع عن التبرج كتبرج الجاهلية الأولى في سورة الأحزاب آية 33؟,How can we reconcile the apparent contradiction between Muslim women participating in combat and prayer during the Prophet’s time and the command in Qur’an 33:33 for them to remain in their homes and avoid displaying adornment?
338,هل يوجد علاقة بين أجزاء الدّماغ وقدرات الإنسان؟,Is there a relationship between brain regions and human abilities?
339,هل هناك فرق بين العقل والدماغ؟,Is there a difference between the intellect (ʿaql) and the brain?
341,هل ورد في القرآن إشارة لصوت ذي تأثير إيجابي على جسم الإنسان؟,Does the Qur’an mention a sound with positive effects on the human body?
343,هل الضوء هو النور في القرآن؟,Is light (ḍawʾ) the same as nūr in the Qur’an?
344,ما هي المنافع الصحية لصلاة الفجر؟,What are the health benefits of the dawn prayer?
345,هل ذكر القرآن أوقات نوم معيّنة؟,Does the Qur’an specify particular times for sleep?
347,هل هناك إشارات في القرآن إلى كروية الأرض؟,Are there indications in the Qur’an of the earth’s sphericity?
348,لماذا تلبس المرأة المسلمة الحجاب؟,Why does the Muslim woman wear hijab?
349,لماذا قام العبد الذي آتاه الله العلم في سورة الكهف بقتل الغلام ...؟,Why did the servant granted knowledge by God in Sūrat al‑Kahf kill the boy despite Qurʾān 4:93?
350,ما هي الآيات التي ذكر فيها الشفاء؟,Which verses mention healing?
351,هل يؤثم الحاكم الذي لا يحكم بما أنزل الله وشرّع؟,Is a ruler sinful for not judging by what God revealed?
354,هل  لفظ (العام) مثل لفظ (السّنة) في القرآن؟,Are the terms ‘ʿām’ and ‘sanah’ equivalent in the Qur’an?
356,ما هي أنواع الجهاد؟,What are the types of jihād?
357,ما هو فضل الجهاد في سبيل الله؟,What is the merit of striving in God’s path?
358,هل هناك فرق بين فرض العين وفرض الكفاية؟,Is there a difference between individual and collective obligations?
361,ما الدلائل على أن هناك اختلاف بين الرسول  والنبي؟,What evidence distinguishes a messenger from a prophet?
362,هل استخدم لفظ (المطر) في القرآن للعذاب فقط؟,Is the word ‘maṭar’ used only for punishment in the Qur’an?
363,هل كلمة (صوم) في القرآن لا تعني صياما عن الأكل والشرب؟,Does the term ‘ṣawm’ in the Qur’an ever mean abstinence other than from food and drink?
364,لماذا سيُحاسب ويُعذب الضال يوم القيامة ...؟,Why will the misguided be punished on the Day of Judgement if God leads astray whom He wills?
365,هل هناك إشارات في القرآن عن نهاية الكيان الصهيوني؟,Are there indications in the Qur’an about the end of the Zionist entity?
367,من هم الشفعاء؟,Who are the intercessors?
368,ما هي عقوبة من يتهم المرأة بالزنا بغير دليل؟,What is the punishment for falsely accusing a woman of adultery?
369,ما الدلائل على أن المسيح لم يصلب؟,What evidence indicates that the Messiah was not crucified?
370,ما هي شروط الشفاعة؟,What are the conditions of intercession?
371,هل كان سيدنا يوسف عليه السلام رسولا أم نبيا؟,Was Prophet Yusuf a messenger or a prophet?
372,ما الدلائل على أن القرآن ليس من تأليف سيدنا محمد (ص)؟,What evidence shows the Qur’an was not authored by Prophet Muḥammad?
373,هل سيدنا محمد (ص) هو أول المسلمين؟,Is Prophet Muḥammad the first Muslim?
374,كيف يكون سيدنا محمد (ص) هو أول المسلمين (الأنعام:163 و غافر: 12) مع أن سيدنا إبراهيم كان حنيفا مسلما قبله (آل عمران:67)؟,How can Prophet Muḥammad ﷺ be the first Muslim (Q 6:163; 40:12) when Prophet Abraham was described as a true Muslim before him (Q 3:67)?
375,لماذا لا تعادل شهادة مرأة واحدة بشهادة رجل واحد ...؟,Why is one woman’s testimony not equal to one man’s in financial matters?
376,هل تجوز شهادة أربعة نساء بدلا من رجلين ...؟,Can the testimony of four women replace that of two men in financial matters?
378,إن كان الله قدّر علي أفعالي فلماذا يحاسبني؟,"If God predestined my actions, why does He hold me accountable?"
379,لماذا يتوضأ المسلمون؟,Why do Muslims perform wudu?
380,ما الغاية من الوضوء قبل الصلاة؟,What is the purpose of ablution before prayer?
381,مقاتلو داعش مثلا ... يتوضؤون أيضا، فهل هذا يجعلهم أطهارا؟,Do acts of ablution make even terrorists like ISIS fighters spiritually pure?
382,لو كان الوضوء للنظافة، لماذا علينا إعادته بعد خروج الريح؟,"If ablution were only for cleanliness, why repeat it after passing wind?"
385,لماذا نهى الله المؤمنين عن طرح الأسئلة ...؟,Why did God forbid believers from asking many questions (Q 5:101)?
387,ألا يعد تكليف المؤمن بالثبات أمام عشرة (الأنفال:65) تكليفا بما لا يطاق؟,Is the command for a believer to stand firm against ten enemies (Q 8:65) an unbearable obligation?
388,"هل تعني آية ""الآن خفف الله عنكم ..."" أن الله لم يكن يعلم؟",Does Q 8:66 imply God was previously unaware of believers’ weakness?
389,ما الدليل على أن القرآن صالح لكل مكان وزمان؟,What proof shows the Qur’an suits all times and places?
391,كيف نرد على أباحة سبي النساء؟,How to answer the claim that the Qur’an permits enslaving women?
392,كيف نرد على أباحة ضرب النساء؟,How to answer the claim that the Qur’an permits beating women?
393,كيف نرد على تكفير وقتال الكفار حتى يسلموا؟,How to answer the charge that the Qur’an mandates fighting disbelievers until they convert?
394,لماذا فرض القرآن الجزية على غير المسلمين؟,Why did the Qur’an impose jizyah on non‑Muslims?
395,لماذا حرم الله التبني؟,Why did God prohibit legal adoption?
396,لماذا أباح القرآن حرمة الأشهر الحرم؟,Why did the Qur’an sanctify the sacred months?
398,هل بعثة النبي محمد تشمل الجن مع الإنس؟,Does Prophet Muḥammad’s mission include the jinn as well as humans?
399,هل تحدث سيدنا محمد مع الجن؟,Did Prophet Muḥammad converse with the jinn?
400,متى يحل الإسلام دم الشخص؟,When is a person’s blood lawful in Islam?
401,هل أخبر القرآن عن الذرّة؟,Does the Qur’an mention the atom?
402,هل ذكر القرآن أن الإنجيل تم تحريفه؟,Does the Qur’an state the Gospel was altered?
404,هل مات المسيح بالفعل؟,Did the Messiah actually die?
405,هل أشار القرآن الى نقص الأكسجين في المرتفعات؟,Does the Qur’an allude to oxygen deficiency at high altitudes?
407,هل ذكر القرآن أن التوراة تم تحريفها؟,Does the Qur’an state the Torah was altered?
408,ما حكم من يرتد عن دين الإسلام؟,What is the ruling on apostasy from Islam?
409,هل تحدثت الحيوانات في القرآن؟,Did animals speak in the Qur’an?
410,هل يجوز معاملة أهل الكتاب بالبر والحسنى؟,Is it permissible to treat People of the Book kindly?
411,هل لم يتغير أي حرف من القرآن؟,Has not a single letter of the Qur’an changed?
412,لماذا لم يساوِ الإسلام بين الرجل والمرأة في الشهادة ...؟,Why does Islam not equate men’s and women’s testimony in court?
413,هل يجوز سبي النساء واسترقاقهن كما تفعله ...؟,Is enslaving women permissible as some extremist groups claim?
414,لماذا لا يكتفي المسلمون بالقرآن الكريم ويلجأون للسنة أيضاً؟,Why don’t Muslims rely solely on the Qur’an and disregard the Sunnah?
415,هل هناك إسلام بدون الحديث الشريف؟,Is there Islam without the Hadith?
416,هل الإسلام دين سلام؟,Is Islam a religion of peace?
417,هل سمح الإسلام بحرية الاعتقاد بالدخول إلى الإسلام؟,Does Islam allow freedom of belief when entering the faith?
418,سمح الإسلام بحرية الاعتقاد بالدخول إلى الإسلام (لا إكراه في الدين)، ولكن لماذا رفض لمن دخل في الإسلام الخروج منه ولم يجعله حراً؟,"Islam allows freedom of belief in entering the faith (""No compulsion in religion""), so why is a Muslim not free to leave it?"
421,هل وجود قراءات مختلفة للقرآن لا يعني تحريفه؟,Do different Qur’anic readings prove it was altered?
422,ما هي الأماكن التي ذُكرت في القرآن كأماكن مقدسة؟,Which locations are mentioned in the Qur’an as sacred?
423,لماذا لم يتم حذف الآيات المنسوخة من القرآن؟,Why haven’t abrogated verses been removed from the Qur’an?
425,هل سيدنا محمد هو أفضل الأنبياء؟,Is Prophet Muḥammad the greatest of the prophets?
426,هل حذر القرآن المؤمنين من اتخاذ أهل الكتاب أولياء لهم؟,Did the Qur’an warn believers against taking People of the Book as allies?
427,بأي طريقة حث القرآن المؤمنين على مجادلة أهل الكتاب؟,How did the Qur’an urge believers to debate the People of the Book?
500,ممّ نجى الله سبحانه وتعالى سيدنا إبراهيم؟,From what did God save Prophet Ibrāhīm?
505,ما الدلائل على أن القرآن أُنزل لجميع الناس ...؟,What evidence shows the Qur’an was revealed for all peoples?
508,مع ازدياد عدد سكان الارض ... هل يجب أن نقلق ...؟,"With world population growth, should we fear insufficient resources?"
510,كيف نرد على اتفاقية سيداو بشأن تعدد الزوجات؟,How to answer CEDAW’s ban on polygamy from Qur’anic texts?
513,كيف نرد على سيداو بشأن ولاية الرجل؟,How to answer CEDAW’s rejection of male guardianship using Qur’an?
518,ماذا يشمل البخل او الشح؟,What does miserliness (bukhl/shuḥḥ) encompass?
519,ما هي عواقب البخل أو الشح؟,What are the consequences of miserliness?
522,ما الفرق بين التبذير والإسراف؟,What is the difference between squandering and extravagance?
525,ماذا تشمل الأمانة في القرآن؟,What does trustworthiness (amānah) include in the Qur’an?
527,لماذا قد يبتلي الله المؤمنين قبل أن يمكنهم؟,Why does God test believers before granting them empowerment?
528,هل يقتصر الابتلاء على العاصي لله دون غيره؟,Is tribulation limited only to those who disobey God?
529,هل يمكن أن يكون الابتلاء بفتح الرزق والخيرات؟,Can a trial be in the form of abundant provision?
533,ما هو ثواب من يعفو ويصفح؟,What is the reward for one who pardons and forgives?
534,هل سيكون الذهب مباحا للرجل في الآخرة؟,Will gold be lawful for men to wear in the Hereafter?
535,ما معنى القلب المنيب؟,What is the meaning of ‘qalb munīb’ (a returning heart)?
536,هل يريد الله منا أن نكون قانتين؟,Does God want us to be devoutly obedient (qānitīn)?
539,ما هي وسائل استمالة وكسب القلوب؟,"What are ways to win over hearts, even hardened ones?"
542,ما هي أفضل الوسائل لاكتساب العزيمة والشجاعة؟,What are the best means to gain determination and courage?
545,هل هناك فرق بين علم اليقين وعين اليقين؟,Is there a difference between knowledge of certainty and vision of certainty?
547,من هو الصحابي الذي قال له رسول الله (صلى الله عليه وسلم) في الغار لا تحزن إن الله معنا؟,Which Companion did the Prophet ﷺ tell in the cave: “Do not grieve; indeed God is with us”?
550,من هم الأنبياء الذين وصفهم الله بالحلم؟,Which prophets did God describe as forbearing?
554,ما معنى كلمة أواب في القرآن؟,What is the meaning of the word “awwāb” in the Qur’an?
555,بماذا شبه الله الإنسان الذي يغتاب الآخرين؟,To what did God liken a backbiter?
557,لماذا نهانا الله عن النجوى في بعض الآيات؟,Why did God forbid secret counsel in some verses?
558,"هل معنى ""كل مولود يولد على الفطرة"" موجود في القرآن؟",Is the concept ‘every child is born upon the fitrah’ found in the Qur’an?
560,ما الدلائل على أن الصالح قد يهلك وأما المصلح فإن الله ينجيه؟,What evidence shows that merely righteous people may perish while reformers are saved?
561,ما هي أخطار وعواقب السكوت عن المنكر؟,What are the dangers of remaining silent about wrongdoing?
562,إذا كان الشيطان شراً فلماذا خلقه الله؟,"If Satan is evil, why did God create him?"
563,ماذا قال عيسى عليه السلام عندما سأله الله ...؟,What did Jesus say when God asked if he told people to worship him?
571,هل البيع مثل الربا؟,Is trade the same as usury?
575,لماذا سُمي شهر رمضان بشهر القرآن؟,Why is Ramadan called the month of the Qur’an?
576,ما هي أكثر صفقات البيع ربحا التي ذكرها القرآن؟,What is the most profitable trade mentioned in the Qur’an?
580,هل يستطيع الشيطان أن يغوي جميع الناس؟,Can Satan mislead all people?
582,من هم العشرة المبشرين بالجنة؟,Who are the ten promised Paradise?
602,هل يعتبر الإسلام ديناً متعدد الثقافات والعرقيات؟,Is Islam a multi‑cultural and multi‑ethnic religion?
611,هل هناك دليل أو أدلة على وحدة الأديان ...؟,Is there evidence for the unity of divinely‑revealed religions?
